token,url,title,description,category,cat1,cat2,city_id,city_name,district,district_persian,price_total,price_text,price_per_meter_text,area_m2,build_year,rooms,floor,unit_condition,direction,has_elevator,has_parking,has_storage,has_balcony,lat,lng,location_radius,image_count
QaUV9Myv,https://divar.ir/v/QaUV9Myv,فروش 110 برجهای شاهگلی فاز 2 طبقه بالاموردمحدود انحصاری در تهران - 10 دی 1404,"بهترین برج
مشاعات تمیز
دیدعالی
در طبقه بالا
اسناد آماده
دید کارت پستالی

سام
مسئول فروش برجهای شاهگلی
اینستاگرام رسمی برجهای شهرک غرب
Borj_shahrakgharb",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,37499998208,‏37،500،000،000 تومان,‏340،909،000 تومان,110,1375,1,18,,,True,True,True,,,,,1
Qa2UeLfi,https://divar.ir/v/Qa2UeLfi,فروش 210 متر برج های هرمزان شهرک غرب در تهران - 10 دی 1404,"واحد مسکونی 210 متری واقع در برج‌های لوکس هرمزان
دارای تراس قابل چیدمان با دید باز 

پلان مهندسی‌شده و بدون پرتی
سالن پذیرایی بزرگ با نورگیری عالی
آشپزخانه جادار
اتاق‌خواب‌های خوش‌ابعاد
طبقات بالایی با آرامش و چشم‌انداز مطلوب

برج دارای لابی مجلل، نگهبانی و امنیت 24 ساعته
دسترسی عالی به بزرگراه‌ها، مراکز خرید و امکانات رفاهی شهرک غرب

مناسب سکونت یا سرمایه‌گذاری مطمئن
فایل شخصی | 

  جهت هماهنگی بازدید تماس بگیرید",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,57999998976,‏58،000،000،000 تومان,‏276،190،000 تومان,210,1385,3,14 از +30,,,True,True,True,,35.76560543223745,51.373104312968714,500,2
QaU5MQle,https://divar.ir/v/QaU5MQle,فروش 205 متر 3خواب،برجهای هرمزان،طبقات بالا،بدون ریشه در تهران - 10 دی 1404,"205 متر فول امکانات 

3 خواب ( 1 خواب مستر )

4 تراس قابل چیدمان 

20 متر آشپزخانه + تراس + مطبخ 

دید ابدی شمال و جنوب 

سالن پرده خور ( غرق در نور )

2 لاین آسانسور 

لابی مبله و مجلل 

لابی من تمام وقت 

مشاعات مجلل ( فضای سبز بینظیر )

سند تک برگ بدون ریشه 

فروشنده واقعی 

فایل کاملا شخصی ( کلید نزد املاک )

مشاور شما فراهانی 

       مشاورین املاک نیلی ( شهرک غرب )",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,62499999744,‏62،500،000،000 تومان,‏304،878،000 تومان,205,1385,3,13 از 18,,,True,True,True,,35.765489782656935,51.37094072098911,500,4
QaNx6kjS,https://divar.ir/v/QaNx6kjS,فروش اپارتمان 236متری_ تک واحدی_3پارکینگ_LUXE در تهران - 10 دی 1404,"✅مالکیت اپارتمانی بدون مشابه✅
           ✅در دنج ترین فرعی شهرک غرب✅

236متر
4خواب ✅
سه خواب مستر✅مشرف به فضای سبز

3پارکینگ سندی✅
بالکن 15متری  قابل چیدمان بدون مشرف✅
استخر/سونا /به مساحت 100متر مربع✅
سالن ورزش به مساحت 150متر مربع✅

✅ورودی از لابی مدرن و مینیمال✅
سند شخصی تک برگ
اماده انتقال
مشاور شما صفائیان
املاک پازل✅",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,103599996928,‏103،600،000،000 تومان,‏438،983،000 تومان,236,1404,4,4,,,True,True,True,,,,,4
QadcNwFa,https://divar.ir/v/QadcNwFa,*فروش واحد140مترخاص_فرصتی تکرارنشدنی*2پارکینگ سندی در تهران - 10 دی 1404,"⭐ فرصتی کم‌نظیر برای خرید این ملک استثنایی!
⭐اینجا همه چیز واقعی است

✔️مشخصات کلی:
* متراژ: 140 متر (دو واحدی)
* تعداد کل طبقات ساختمان: 6 طبقه
* طبقه: 6 
* تعداد خواب: 3 خواب بزرگ 
* سال ساخت: 1403
* جهت ساختمان: جنوبی

⭕️ امکانات رفاهی:
* 2 پارکینگ در بهترین جا نمایی پارکینگ ساختمان
* آسانسور
* انباری 
* بالکن قابل چیدمان بدون مشرف در اتاق خواب 
   مستر 
* لابی 
* سرایداری

⭕️ جزئیات فنی:
* سیستم گرمایشی و سرمایشی: داکت اسپلیت
* کف‌پوش سالن : سنگ
* کف پوش اتاق خوابها:لمینیت
* سرویس بهداشتی: ایرانی و فرنگی
* گرمایش آب :پکیج

⭕️ ویژگی‌های منحصربه‌فرد:
* ساختمان دو ‌واحدی در هر طبقه، مناسب برای  
  سکونت آرام و خصوصی
* طراحی داخلی مدرن و کاربردی
* فرعی تماما مسکونی با دسترسی عالی به امکانات 
  شهری و محیطی آرام

⭐️ برای کسب اطلاعات بیشتر و هماهنگی بازدید، لطفا با من تماس بگیرید
☎️کارشناس امور ملکی:حسین میرزایی
 My Instagram ID: @hosseinmirzaeeii",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,44000002048,‏44،000،000،000 تومان,‏314،285،000 تومان,140,1404,3,6 از 6,,,True,True,True,,,,,7
Qako2WQ3,https://divar.ir/v/Qako2WQ3,فروش شهرک غرب بلوار دریا_130 متر_3 خواب_تک واحدی در تهران - 10 دی 1404,"⭐ فرصتی کم‌نظیر برای خرید این ملک استثنایی
⭐اینجا همه چیز واقعی است

✔️ مشخصات کلی
* 130 متر (تک واحدی)
* تعداد کل طبقات ساختمان:6
* طبقه:2
* سال ساخت: 1398
* جهت ساختمان: شمالی
* نور گیری واحد: جنوب و شمال 
* ارتفاع سقف: 3 متر

⭕️ امکانات داخلی:
* سالن بزرگ با پلان تفکیکی بی‌نقص و قابلیت 
  چیدمان متنوع
* آشپزخانه مجهز به کابینت های سرتاسری با 
  دربهای فریم لس و دارای اپلاینس روکاروفرنیش 
   بوش
* تی وی روم دیزاین شده با فضای مناسب و 
   قابلیت چیدمان متنوع
* 3 خواب 1 خواب مستر هر3 دارای کمدهای دیواری
   با دربهای فریم لس

⭕ جزئیات فنی:
* کف‌پوش :سنگ
* سیستم گرمایشی : داکت اسپیلت
* سیستم سرمایشی: داکت اسپیلت
* سرویس بهداشتی: ایرانی و فرنگی
* گرمایش آب: پکیج

⭕ امکانات رفاهی:
* پارکینگ
* آسانسور
* انباری

⭕️ ویژگی‌های برجسته:
* فرعی کم نظیر با گذر و دسترسی مناسب
* سازه‌ای برند با استراکچر قوی
* نما تماما سنگ‌ 
* حیاط کاملا مشجر


️ ⭐️ برای کسب اطلاعات بیشتر و هماهنگی بازدید، لطفا با من تماس بگیرید
☎️کارشناس امور ملکی:حسین میرزایی
 My Instagram ID: @hosseinmirzaeeii",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,35999997952,‏36،000،000،000 تومان,‏276،923،000 تومان,130,1398,3,2 از 6,,,True,True,True,,,,,6
QaJ1gcyZ,https://divar.ir/v/QaJ1gcyZ,فروش فول نوسازی 135متر 2خواب برج های شهرک غرب ویو در تهران - 10 دی 1404,"شهرک غرب 

نور و نقشه عالی بدون پرتی 

135متر2خواب هر دو خواب مستر 

فول بازسازی شده کامل با بهترین متریال 

سه شیفت لابی من 

سرایداری مقیم 


توضیحات بیشتر در تماس و بازدید 


مشاور شما یزدان",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,41999998976,‏42،000،000،000 تومان,‏311،111،000 تومان,135,1380,2,11,,,True,True,True,,,,,4
QaSRaKhg,https://divar.ir/v/QaSRaKhg,فروش 138 متر 3 خواب بازسازی شده (2 پارکینگ) فایل شخصی در تهران - 10 دی 1404,"با سلام
فایل کاملا شخصی

138 متر 3 خواب + تـراس کاربردی
بازسازی شده بدون کوچکترین هزینه
تمام فضا نورگیر مستقیم ( آکواریوم)

مجموعه ای کم واحد و بینظیر 
مشاعات تمـیز ، مدیریت قوی
آسانسور بزرگ ، پاگرد اختصاصی

2 پارکینگ باکس سندی 

سند تک برگ، مالک فروشنده واقعی

حسین گرامی ، مشاور تخصصی منطقه
با افتخار همراه شما عزیزان هستیم حتی ایام تعطیل
املاک بزرگ کیان",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,32999999488,‏33،000،000،000 تومان,‏239،130،000 تومان,138,1390,3,3,,,True,True,True,,,,,1
QaTVv_K7,https://divar.ir/v/QaTVv_K7,فروش تاپ لوکیشن دادمان - نزدیک پارک - کم واحد - 149متر در تهران - 9 دی 1404,"فایل شخصی 

__________________

■ تاپ‌ لوکیشن شهرک غرب 
■ بهترین فرعی سپهر 
■ تک واحدی 
■ 149 متر رو به آفتاب 
■ سالن بزرگ با قابلیت چیدمان مختلف 
■ 3 خواب بزرگ 
■ قیمت گذاری شده با دلار 70 تومنی 
■ فروش به این قیمت بمدت 3 روز

برای بازدید واحد تماس بگیرید 

_______________________
مشاور شما : 
حاجی اصغر",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,34500001792,‏34،500،000،000 تومان,‏246،428،000 تومان,140,1399,3,4,,,True,True,True,,,,,6
QaU9C0hk,https://divar.ir/v/QaU9C0hk,فروش 102متر 2خواب برج شهرک غرب در تهران - 9 دی 1404,"102متر
2خواب
طبقات بالا
تراس قابل چیدمان
ویو دار
نگهبانی 24 ساعته
محوطه مشجر و دنج
برج های هرمزان
مشاور شما: خانم منصف",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,31000000512,‏31،000،000،000 تومان,‏303،921،000 تومان,102,1377,2,10,,,True,True,True,,35.76066362900686,51.36851572047907,500,3
QaTlYw85,https://divar.ir/v/QaTlYw85,فروش 162متر شهرک غرب فول استراکچر(کمیاب) در تهران - 9 دی 1404,"❗❗❗لوکیشن یا اصالت منطقه❗❗❗

                                ⭕⭕قدرالسهم بسیار ارزنده⭕⭕

                               فرصتی بی‌نظیر برای خرید این ملک

☑️مشخصات کلی
162متر آپارتمان 3 خواب استاندارد
2واحدی
کلا 4 طبقه
ملک جنوبی

☑️امکانات داخلی
نور شمال و جنوب در تمامی فضای آپارتمان
سالن بسیار بزرگ مناسب هر نوع چیدمان
آشپزخانه کاربردی و بزرگ
اتاق خواب های بسیار دلباز
پارکینگ انباری بالکن

☑️ویژگی های برجسته ملک
ملک جنوبی
مشاعات در خورتحسین
800متر زمین
100متر قدرالسهم 
مناسب خاص پسندان
دسترسی عالی به مراکز خرید و اتوبان ها

✔️با افتخار از 8صبح تا 1 بامداد پاسخگوی شما هستم
✔️مشاور حقوقی،فنی و سرمایه گذاری شما:عسلیان",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,30000001024,‏30،000،000،000 تومان,‏185،185،000 تومان,162,1383,3,3 از 4,,,True,True,True,,35.76000520479616,51.38151940484693,500,6
QaAEMij5,https://divar.ir/v/QaAEMij5,فروش طبقه 16برج باغ _هتلینگ سند شخصی ویو کل تهران در تهران - 9 دی 1404,"یک باب واحد در برج باغ مجلل ،طبقه یکی مانده به اخر
( پنت ) روبه جنوب و شرق بدون مشرف و بدون دیوار مشترک بفروش میرسد
دارای مشاعات آبی
لابی مجلل
سالن ورزشی
کافی شاپ
لابی من 3 شیفت / تیم تاسیسات

قیمت مقطوع 44 میلیارد 

مقایسه کنید و تماس بگیرید
آقای صفری",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,44000002048,‏44،000،000،000 تومان,‏287،581،000 تومان,153,1404,3,16 از 17,,,True,True,True,,,,,3
AatNDaL9,https://divar.ir/v/AatNDaL9,فروش 154 متر برج برجهای هرمزان زیر زیر زیر قیمت در تهران - 9 دی 1404,"✅✅بهترین بلوک برجهای هرمزان 
قیمت کاسبی ……..

❌❌154 متر 2 خواب   

 پیج اینسگرام ؛ borjhae_shahrakgharb
مجموعه دارای پناهگاه 

ویو ابدی جنوب و غرب 
مناسب سکونت و سرمایه گذاری 
❌❌بهترین گزینه 2خواب در برجها 

✅✅✅واحد102و205 متربرای فروش موجود است 

✅اجاره و فروش برج ✅ 

✅✅مهندس دارابی ؛ کارشناس تخصصی برجهای شهرک غرب ….",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,41500000256,‏41،500،000،000 تومان,‏269،480،000 تومان,154,1382,2,2,,,True,True,True,,,,,4
QaRBwF5X,https://divar.ir/v/QaRBwF5X,فروش واحد 210 متری برجهای هرمزان 3 خواب طبقات بالا در تهران - 9 دی 1404,"✨ فرصت استثنایی در قلب شهرک غرب! واحد 210 متری ویودار و خوش‌نقشه در برج های اصیل هرمزان، طبقات بالا ویو بدون مشرف و نورگیری عالی از سه جهت 

 امکانات:
• 3 خواب عالی با کمدهای دیواری بزرگ
•یک خواب کینگ مستر با بالکن 
• کینگ آشپزخانه بسته با کابینت MDF 
• 2 حمام و سرویس فرنگی
• 4 بالکن عالی و قابل چیدمان 
• سیستم سرمایش و گرمایش داکت اسپلیت
• کف پارکت بامبو 
• پارکینگ و انباری 

 سند تک‌برگ، آماده انتقال 
 موقعیت عالی با دسترسی آسان به مراکز خرید و منطقه
این واحد از خوش نقشه ترین واحد های برجهای شهرک غرب میباشد 
- مشاور: سام گنجی",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,60000002048,‏60،000،000،000 تومان,‏285،714،000 تومان,210,قبل از 1370,3,بالاتر از 30,,,True,True,True,,35.76352068562039,51.37214928190966,500,10
QaMgJVKG,https://divar.ir/v/QaMgJVKG,فروش 190 متر _مجلل و باشکوه_فول مشاعات_دید ابدی در تهران - 9 دی 1404,"⭐ فرصتی استثنایی برای خرید ملکی فاخر و مجلل با تمام امکانات!
⭐اینجا همه چیز واقعی است ❗️

✔️ مشخصات داخلی:
*  متراژ: 190 متر
*  طبقه: 5 
*  3 خواب (یک رویال مستر)
*  سال ساخت: 1399

⭕️ جزئیات فنی:
*  آشپزخانه مجهز به کابینت‌ با دربهای فریم لس، 
    کافی بار و اپلاینس روکار
*  سیستم سرمایش و گرمایش: چیلر
*  کفپوش سالن: سنگ
*  کفپوش اتاق خواب‌ها: لمینت
*  سرویس بهداشتی: ایرانی و فرنگی
*  رختشویخانه (Laundry room)
*. لابی من و گیت نگهبانی سه شیفت

⭕️ امکانات رفاهی کامل:
*  استخر، سونا، جکوزی
*  2 پارکینگ باکس
*. انباری (7متر)
*  لابی مجلل 
*. سالن ورزشی مجهز
*. سالن بیلیارد
*  سالن اجتماعات  
*  سالن سینما
*  3 لاین آسانسور
*  سرایدار مقیم و گیت نگهبانی 24 ساعته
*. دیزل ژنراتور

⭕️ ویژگی‌های خاص:
*  چشم‌انداز ابدی شمال شهر از سالن، آشپزخانه و 
   تمام اتاق خواب‌ها
*  ساختمان مجلل با سازه برند و استراکچر قوی
*  محیطی آرام و خصوصی، ایده‌آل برای سکونت

⭐️ برای کسب اطلاعات بیشتر و هماهنگی بازدید، لطفا با من تماس بگیرید
☎️کارشناس امور ملکی:حسین میرزایی
 My Instagram ID: @hosseinmirzaeeii",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,71999995904,‏72،000،000،000 تومان,‏378،947،000 تومان,190,1399,3,5 از 11,,,True,True,True,,,,,12
QaT59vOA,https://divar.ir/v/QaT59vOA,فروش 130 متری_ سه خواب _ شهرک غرب در تهران - 9 دی 1404,"130 متر 
سه خواب 
فول امکانات
فول بازسازی
خوش نقشه
نورگیر عالی
دسترسی عالی
قیمت مناسب

برای اطلاعات بیشتر و هماهنگی تماس بگیرید

مشاور منطقه 
پوریا جباری",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,25999998976,‏26،000،000،000 تومان,‏200،000،000 تومان,130,1388,3,1,,,True,True,True,,35.76490440334892,51.36300861002944,500,9
QaBBR4JJ,https://divar.ir/v/QaBBR4JJ,فروش شهرک غرب _2خوابه_ آکواریوم نور در تهران - 9 دی 1404,"آپارتمان لوکس و خوش‌نقشه در یکی از بهترین فرعی محله شهرک غرب
مشخصات ملک:
• 107 متر 
پارکینگ با ارتفاع بالا
دارای سالن بانورگیر و ویوی ابدی شهر تهران
• 2 خواب با سالن بزرگ قابل چیدمان
• سن بنا: 8 سال ساخت
• دارای 2 لاین اسانسور
• انباری اختصاصی

✨ امکانات ویژه:
• سیستم سرمایش داکت اسپیلت
• متریال درجه یک لوکس در تمام نقاط
• پنجره‌های دوجداره با نورگیری عالی
• لابی مجلل و باشکوه
• سرایدار 24 ساعته
موقعیت عالی در فرعی دنج ومشجر
ویژگی‌های منحصر به فرد:
• دارای ویوی 270درجه از شرق و جنوب تهران
• واقع شده در طبقه هفتم (کل برج دارای 8 طبقه مسکونی میباشد)
• کیفیت ساخت فوق‌العاده
• دارای کنتور برق و گاز و آب اختصاصی برای تمامی واحدها
. سند تکبرگ
• دسترسی عالی به مراکز خرید و خدماتی",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,29500000256,‏29،500،000،000 تومان,‏275،700،000 تومان,107,1395,2,7 از 8,,,True,True,True,,,,,8
QaJU_Bja,https://divar.ir/v/QaJU_Bja,فروش 200متر آپارتمان نوساز شهرک غرب تکواحد در تهران - 9 دی 1404,"سلام و احترام .. 
شیک ترین تکواحدی منطقه 


سه خواب مستر روم لاندری تراس قابل چیدمان
پلان خاص و ژورنالی ، چیدمان نقشه بی نظیر 


متریال برند در جه یک و وارداتی 
مالک شدیدا فروشنده «« قطع به یقین میپسندید 


توضیحات تکمیلی در تماس و بازدید خریداران محترم
مشاور شما وحید « مجموعه املاک آلما vip »",فروش آپارتمان,real-estate,residential-sell,1,تهران,shahrak-e-gharb,شهرک غرب,67999997952,‏68،000،000،000 تومان,‏340،000،000 تومان,200,1404,3,4,,,True,True,True,,35.75963775602922,51.37550600986209,500,1
